DOI,,,,,Metal_1,Metal_2,Metal_3,Sample Name,Metal_1_Amount,Metal_2_Amount,Metal_3_Amount,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Acid wash or not,Annealing Temp degree,Annealing Rising Rtae degree min-1,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Proton Concentration M,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Scanning Speed mV s-1,O2 saturated/1 for yes,Overpotential mV @10 mA cm-2 (raw),Overpotential mV @10 mA cm-2,,
10.1016/j.nanoen.2021.106276,,,,,Ru,None,None,RuO2-NS/CF,1,0,0,100,0,0,25,300,0,0,0,0,0,350,2,120,0,0,0,1,1.2,0,0,1,5,,212,212 ,,
10.1016/j.nanoen.2021.106276,,,,,Co,Ru,None,RuO2-Co3O4/CF,8.8,1,0,89.79591837,10.20408163,0,25,300,0,0,0,0,0,350,2,120,0,0,0,1,1.2,0,0,1,5,,492,492 ,,
10.1016/j.nanoen.2021.106276,,,,,Co,None,None,Co3O4/CF,1,0,0,100,0,0,25,300,0,0,0,0,0,350,2,120,0,0,0,1,1,0,0,1,5,,546,546 ,,
10.3390/catal11101176,,,,,Ti,Ir,None,BI-10,1.125,0.044642857,0,96.18320611,3.816793893,25,0,"2,880",1,1,0,0,0,25,0,0,0,0,0,0.1,0.028,0.252,1,0,5,1,461,461 ,,
10.3390/catal11101176,,,,,Ti,Ir,None,BI-15,1.0625,0.066964286,0,94.07114625,5.928853755,25,0,"2,880",1,1,0,0,0,25,0,0,0,0,0,0.1,0.042,0.238,1,0,5,1,342,342 ,,
10.3390/catal11101176,,,,,Ti,Ir,None,BI-20,1,0.089285714,0,91.80327869,8.196721311,25,0,"2,880",1,1,0,0,0,25,0,0,0,0,0,0.1,0.056,0.224,1,0,5,1,377,377 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,None,None,Ir,1,0,0,100,0,0,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.011,0,0,1,5,,393.54947,394 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Au,None,AuIr,0.5,0.5,0,50,50,0,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.02173198,0,0,1,5,,351.15544,351 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Co,None,IrCo,0.5,0.5,0,50,50,0,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.046833898,0,0,1,5,,356.05963,356 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Au,Co,IrAuCo,0.333,0.333,0.333,33.33333333,33.33333333,33.33333333,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.057565878,0,0,1,5,,330.1219,330 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Ni,None,IrNi,0.5,0.5,0,50,50,0,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.046833898,0,0,1,5,,357.23119,357 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Au,Ni,IrAuNi,0.333,0.333,0.333,33.33333333,33.33333333,33.33333333,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.057565878,0,0,1,5,,334.99885,335 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Cu,None,IrCu,0.5,0.5,0,50,50,0,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.044034375,0,0,1,5,,400.36085,400 ,,
10.1021/acsmaterialslett.1c00428,,,,,Ir,Au,Cu,IrAuCu,0.333,0.333,0.333,33.33333333,33.33333333,33.33333333,25,5,1,0,0,0,0,500,,720,0,0,1,0.1,0.054766355,0,0,1,5,,375.89437,376 ,,
10.1002/smll.202102078,,,,,W,Ir,None,Ir-WO3,2.5,0.2386,0,91.28751917,8.71248083,0,95,300,0,0,0,0,0,400,,300,0,1,0,1,0.5,0,0,1,1,1,258,258 ,,
10.1002/smll.202102078,,,,,W,None,None,WO3,1,0,0,100,0,0,95,300,0,0,0,0,0,400,,300,0,1,0,1,0.5,0,0,1,1,1,552,552 ,,
10.1002/smll.202102078,,,,,Ir,None,None,IrO2,1,0,0,100,0,0,95,300,0,0,0,0,0,400,,300,0,1,0,1,0.045,0,0,1,1,1,741,741 ,,
10.1002/adma.202104638,,,,,Ir,None,None,Ir_be,1,0,0,100,0,0,25,"1,440",1,0,0,0,0,25,0,0,0,1,0,1,0.13,1.727142857,1,1,5,,290,290 ,,
10.1016/j.apsusc.2021.150293,,,,,Ru,Au,None,Au/RuO2 NF,10,1,0,90.90909091,9.090909091,0,25,"2,880",1,0,0,0,0,300,1,180,0,0,0,1,0.8488,0,0,0,1,0,189.39036,189 ,,
10.1016/j.apsusc.2021.150293,,,,,Ru,None,None,RuO2 NF,10,0,0,100,0,0,25,"2,880",1,0,0,0,0,300,1,180,0,0,0,1,0.8488,0,0,0,1,0,185.1797,185 ,,
10.1016/j.apsusc.2021.150293,,,,,Ru,Au,None,RuAu NF,10,1,0,90.90909091,9.090909091,0,25,"2,880",1,0,0,0,0,300,10,240,0,0,1,1,0.8488,0,0,0,1,0,153.98252,154 ,,
10.1016/j.apsusc.2021.150293,,,,,Ru,None,None,Ru NF,10,0,0,100,0,0,25,"2,880",1,0,0,0,0,300,10,240,0,0,1,1,0.8488,0,0,0,1,0,166.8059,167 ,,
10.1016/j.cej.2021.130077,,,,,Ru,Co,None,RuCo@NG/N-GNs,6,1,0,85.71428571,14.28571429,0,80,360,1,0,0,0,0,750,3,120,0,0,1,1,0.256,0.144,0,0,5,1,209,209 ,,
10.1016/j.cej.2021.130077,,,,,Ru,None,None,Ru@NG/N-GNs,6,0,0,100,0,0,80,360,1,0,0,0,0,750,3,120,0,0,1,1,0.256,0.144,0,0,5,1,342,342 ,,
10.1016/j.cej.2021.130077,,,,,Ru,Co,None,RuCo@NG/N-GNs,3,1,0,75,25,0,80,360,1,0,0,0,0,750,3,120,0,0,1,1,0.256,0.144,0,0,5,1,280,280 ,,
10.1016/j.cej.2021.130077,,,,,Ru,Co,None,RuCo@NG/N-GNs,9,1,0,90,10,0,80,360,1,0,0,0,0,750,3,120,0,0,1,1,0.256,0.144,0,0,5,1,224,224 ,,
10.1039/D1CC04984D,,,,,Pt,Sn,None,Pt3Sn,0.024917366,0.008438594,0,74.70139025,25.29860975,0,180,720,0,0,0,0,0,25,0,0,0,0,0,1,0.015031102,0.051295898,0,0,10,0,370,370 ,,
10.1039/D1CC04984D,,,,,Pt,Sn,Pd,Pd-Pt3Sn,0.024917366,0.008438594,0.002068015,70.34040098,23.8217033,5.837895721,150,420,0,0,0,0,0,25,0,0,0,0,0,1,0.015463876,0.050863124,0,0,10,0,270,270 ,,
10.1038/s41467-021-26416-3,,,,,Ir,None,None,AD-HN-Ir,100,0,0,100,0,0,70,120,1,0,0,0,0,800,,180,0,1,0,1,0.0035,0.02162475,0,1,,,216,216 ,,
10.1038/s41467-021-26416-3,,,,,Ir,None,None,Ir-NC,100,0,0,100,0,0,70,120,1,0,0,0,0,800,,180,0,1,0,1,0.003,0.0185355,0,1,,,412,412 ,,
10.1038/s41467-021-26416-3,,,,,Ir,None,None,Ir-NP/NC,100,0,0,100,0,0,70,120,1,0,0,0,0,1000,,180,0,1,0,1,0.0085,0.05251725,0,1,,,394,394 ,,
10.1038/s41565-021-00986-1,,,,,Ir,None,None,IrO2-,1,0,0,100,0,0,0,180,1,0,0,0,0,450,10,120,0,0,0,1,0.0407,0,0,0,5,1,299,299 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Ta,Tm,Ta0.1Tm0.1Ir0.8,0.8,0.1,0.1,80,10,10,0,180,1,0,0,0,0,450,10,120,0,0,0,1,0.0407,0,0,0,5,1,227.15224,227 ,,
10.1038/s41565-021-00986-1,,,,,Ir,None,None,GB-IrO2,1,0,0,100,0,0,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,254.14819,254 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Ta,None,GB-Ta0.05Ir0.95,0.95,0.05,0,95,5,0,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,238.02871,238 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Ta,None,GB-Ta0.1Ir0.9,0.9,0.1,0,90,10,0,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,235.01677,235 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Ta,None,GB-Ta0.2Ir0.8,0.8,0.2,0,80,20,0,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,242.32352,242 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Tm,None,GB-Tm0.1Ir0.9,0.9,0.1,0,90,10,0,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,236.24386,236 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Tm,Ta,GB-Ta0.1Tm0.1Ir0.8,0.8,0.1,0.1,80,10,10,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,201.94115,202 ,,
10.1038/s41565-021-00986-1,,,,,Ir,Tm,Ta,GB-Ta0.1Tm0.2Ir0.7,0.7,0.2,0.1,70,20,10,0,180,1,0,0,0,0,450,12750,120,0,0,0,1,0.0407,0,0,0,5,1,223.80564,224 ,,
10.1016/j.apsusc.2021.150478,,,,,Co,Ru,None,RCNC-O-2.60,0.34,0.1145686,0,74.79619142,25.20380858,0,25,"1,440",0,0,0,0,0,300,2,120,0,0,0,1,0.35,0.09877,0,0,5,0,281,281 ,,
10.1016/j.apsusc.2021.150478,,,,,Co,Ru,None,RCNC-O-3.25,0.34,0.14321075,0,70.36267307,29.63732693,0,25,"1,440",0,0,0,0,0,300,2,120,0,0,0,1,0.35,0.09877,0,0,5,0,239,239 ,,
10.1016/j.apsusc.2021.150478,,,,,Co,Ru,None,RCNC-O-3.90,0.34,0.1718529,0,66.42533436,33.57466564,0,25,"1,440",0,0,0,0,0,300,2,120,0,0,0,1,0.35,0.09877,0,0,5,0,232,232 ,,
10.1016/j.apsusc.2021.150478,,,,,Co,Ru,None,RCNC-O-4.55,0.34,0.20049505,0,62.90529401,37.09470599,0,25,"1,440",0,0,0,0,0,300,2,120,0,0,0,1,0.35,0.09877,0,0,5,0,228,228 ,,
10.1016/j.apsusc.2021.150478,,,,,Co,Ru,None,RCNC-O-5.20,0.34,0.229137199,0,59.73954968,40.26045032,0,25,"1,440",0,0,0,0,0,300,2,120,0,0,0,1,0.35,0.09877,0,0,5,0,252,252 ,,
